Site_ID,Latitude,Longitude,WSCSSDA,PRPWSHID,WQI,WQI_category
2262,49.06754,-122.6844,08MH,BC_103,NA,NA
2263,49.06755,-122.6793,08MH,BC_103,NA,NA
2264,49.0683,-122.7003,08MH,BC_103,NA,NA
2265,49.068600000000004,-122.6028,08MH,BC_103,NA,NA
2266,49.0691,-117.6022,08NE,BC_96,NA,NA
2267,49.06912,-122.5333,08MH,BC_103,NA,NA
2268,49.0692,-122.8225,08MH,BC_103,NA,NA
2269,49.069237,-105.1306104,11AF,NA,NA,NA
2270,49.0693,-119.5135,08NM,BC_161,71.01420131026352,Fair
2271,49.0697,-122.8256,08MH,BC_103,NA,NA
